View Point: Keep the promise: End violence against women! | The ...http://www.thejakartapost.com/news/2013/03/06/view-point-keep-promise-end-violence-against-women.html
Merlyn Sopjan: A sporting way to fight discrimination | The Jakarta Posthttp://www.thejakartapost.com/news/2007/01/21/merlyn-sopjan-sporting-way-fight-discrimination.html
Caretaker gets 3 months for attacking Catholics in Sleman | The ...http://www.thejakartapost.com/news/2014/10/17/caretaker-gets-3-months-attacking-catholics-sleman.html
Titiana Adinda: Fighting violence against women | The Jakarta Posthttp://www.thejakartapost.com/news/2008/10/19/titiana-adinda-fighting-violence-against-women.html
Yudhoyono disappoints Indonesian people with Dems' walkout | The ...http://www.thejakartapost.com/news/2014/09/26/yudhoyono-disappoints-indonesian-people-with-dems-walkout.html-0
Elisabeth Oktofani: Exploring the world of 'bule' hunters | The Jakarta ...http://www.thejakartapost.com/news/2014/09/08/elisabeth-oktofani-exploring-world-bule-hunters.html
24-hour convenience stores: The new hangout | The Jakarta Posthttp://www.thejakartapost.com/news/2011/01/31/24hour-convenience-stores-the-new-hangout.html
Aceh leaders face high expectations, little patience | The Jakarta Posthttp://www.thejakartapost.com/news/2008/11/02/aceh-leaders-face-high-expectations-little-patience.html
Gays, lesbians face discrimination in sharia Aceh | The Jakarta Posthttp://www.thejakartapost.com/news/2010/01/20/gays-lesbians-face-discrimination-sharia-aceh.html
Steroid use much higher among gay and bi teen boys | The Jakarta ...http://www.thejakartapost.com/news/2014/02/03/steroid-use-much-higher-among-gay-and-bi-teen-boys.html
HK transgender woman wins legal battle to marry | The Jakarta Posthttp://www.thejakartapost.com/news/2013/05/13/hk-transgender-woman-wins-legal-battle-marry.html
'Spiral' of silence haunts human rights protection | The Jakarta Posthttp://www.thejakartapost.com/news/2012/05/13/spiral-silence-haunts-human-rights-protection.html
India health minister calls homosexuality disease | The Jakarta Posthttp://m.thejakartapost.com/news/2011/07/05/india-health-minister-calls-homosexuality-disease.html
